Lat,Lon,MAT,SpringT,SOS,ST
39.7999,116.0399,6.389263421,13.60308642,144.2616667,-5.950590461
39.8088,116.0399,6.496115966,13.60617284,149.3933333,-4.568205186
39.8178,116.0399,6.478103759,13.57037037,143.2588889,-8.050156957
39.8268,116.0399,5.903662089,13.0537037,148.175,0.282648318
39.8807,116.0399,5.436780413,12.61358025,133.1715385,-2.479125741
39.9166,116.0399,4.62824941,12.17592593,116.9111765,-3.583284827
39.9705,116.0399,5.586170065,13.05308642,134.5188889,-2.951901129
40.0873,116.0399,1.042190318,8.115432099,116.2141176,-5.357565813
40.1053,116.0399,3.222659176,10.59135802,115.644375,-3.604764787
40.1143,116.0399,3.890324594,11.12407407,116.4111111,-3.087320453
40.1322,116.0399,3.811756138,11.33148148,123.705,-3.504197127
40.1412,116.0399,5.251518935,12.68518519,124.7672222,-2.748228873
40.1502,116.0399,5.824670551,13.09444444,126.2794444,-1.144861777
39.6202,116.0489,7.018678041,14.02901235,114.1569231,0.058747262
39.6292,116.0489,6.954452767,14.0037037,131.2305556,-4.596618469
39.6561,116.0489,6.837647385,14.0617284,114.0727778,-1.135528889
39.6651,116.0489,6.825981412,13.98395062,119.0533333,-1.092759735
39.6741,116.0489,6.819773894,14.01604938,134.0111111,-3.527031822
39.6921,116.0489,6.862380358,14.01481481,167.1822222,-4.326718395
39.701,116.0489,6.561582744,13.91419753,161.4233333,-1.716471014
39.71,116.0489,6.594916077,13.97469136,141.415,-6.591242556
39.719,116.0489,6.80617284,14.02160494,150.2827778,-5.666764937
39.737,116.0489,6.833312526,14.00740741,141.7694444,-4.201059855
39.746,116.0489,6.666534887,13.81419753,138.92,-1.781149845
39.7549,116.0489,6.666534887,13.81419753,151.5555556,-0.35057171
39.7639,116.0489,6.467089749,13.68950617,143.1466667,-3.208416438
39.7729,116.0489,6.359744763,13.65802469,134.4638889,-2.804986164
39.7819,116.0489,6.055243446,13.41790123,126.4205556,-1.463354069
39.7909,116.0489,6.045366902,13.38395062,140.2776923,-1.932134598
39.8268,116.0489,6.237175753,13.33703704,146.025,-5.224011547
39.8358,116.0489,5.861048689,12.99382716,134.3111111,-3.082267674
39.8807,116.0489,5.04883479,12.36790123,149.6429412,2.27217202
39.9166,116.0489,5.067283951,12.61296296,117.3611111,-3.436966695
39.9256,116.0489,5.840081842,13.27345679,127.4405882,-3.626652217
39.9346,116.0489,5.372569011,12.4617284,135.6466667,0.386374851
39.9526,116.0489,3.123040644,10.46234568,112.5644444,-3.588687716
39.9616,116.0489,3.123040644,10.46234568,115.535,-2.843886907
39.9705,116.0489,5.376210293,12.78888889,138.0316667,-2.582147054
39.9795,116.0489,5.694243307,13.03641975,131.4138462,1.463383918
40.0514,116.0489,1.73084339,8.72654321,113.86625,-3.424452829
40.0604,116.0489,1.73084339,8.72654321,117.43,-5.866163652
40.0963,116.0489,2.197822167,9.141358025,116.1835294,-5.92229584
40.1053,116.0489,2.862484395,10.18333333,112.5052941,-2.599523418
40.1143,116.0489,3.974878624,11.30246914,116.226875,-3.82948652
40.1322,116.0489,3.302184769,10.84074074,113.59,-2.833368619
40.1412,116.0489,4.887689,12.49691358,112.0911765,-2.843186021
40.1502,116.0489,5.732043279,13.11728395,125.495,-4.386939445
39.6561,116.0578,6.837647385,14.0617284,130.9627778,-1.704210918
39.6651,116.0578,6.825981412,13.98395062,129.7138889,-2.580036456
39.6921,116.0578,6.862380358,14.01481481,153.4544444,-7.315859667
39.701,116.0578,6.561582744,13.91419753,146.8005556,-3.294143499
39.71,116.0578,6.594916077,13.97469136,130.7672222,-4.624451462
39.719,116.0578,6.80617284,14.02160494,153.7022222,-4.290366501
39.728,116.0578,6.815480649,14.01111111,148.1938889,-6.472239468
39.737,116.0578,6.833312526,14.00740741,145.0166667,-1.794157376
39.746,116.0578,6.666534887,13.81419753,150.3211111,-4.112290744
39.7549,116.0578,6.666534887,13.81419753,134.7322222,-5.86582881
39.7639,116.0578,6.467089749,13.68950617,134.2327778,-3.199747849
39.7729,116.0578,6.359744763,13.65802469,127.8244444,-2.617240344
39.7819,116.0578,6.055243446,13.41790123,132.8955556,-0.907372738
39.7909,116.0578,6.045366902,13.38395062,135.3661111,-8.98550607
39.7999,116.0578,6.353460952,13.54259259,144.6461111,-6.202743489
39.8088,116.0578,6.496115966,13.60617284,151.0344444,-3.202378216
39.8178,116.0578,6.515855181,13.57654321,138.7194444,-5.641778495
39.8268,116.0578,6.237175753,13.33703704,147.7477778,-4.936752548
39.8358,116.0578,5.861048689,12.99382716,147.3217647,-3.760931004
39.8807,116.0578,5.04883479,12.36790123,118.24,-3.428213985
39.9256,116.0578,5.840081842,13.27345679,130.9738889,-3.257969616
39.9436,116.0578,4.654751006,11.73518519,129.3844444,-3.024741502
39.9526,116.0578,3.123040644,10.46234568,113.7194444,-2.47601966
39.9795,116.0578,5.694243307,13.03641975,138.2072222,-2.236594289
39.9885,116.0578,5.75546539,13.05123457,133.5811111,-2.077089403
40.0514,116.0578,1.73084339,8.72654321,115.1005882,-3.562801384
40.0604,116.0578,1.73084339,8.72654321,117.8247059,-4.883603074
40.0694,116.0578,1.640608961,8.642592593,119.8888235,-5.114155219
40.0963,116.0578,2.197822167,9.141358025,114.9825,-5.948896612
40.1053,116.0578,2.862484395,10.18333333,113.1972222,-3.295508386
40.1143,116.0578,3.974878624,11.30246914,115.2394118,-3.144903542
